Item,Carga CPU,Carga RAM,Promedio Trespuesta,AvgIOReadOperationsPerSec,AvgIOWriteOperationsPerSec,SQL Cache Memory,Sesiones Activas,Loginspersecond,User Conections,Disponibilidad SQL,Average Latch Wait Time,Lock Wait Time,Eventos SQL
41,61.33333333,98.04771169,1,129.1827452,340.0676518,61038,165.6111111,0.104537985,181.8888889,100,3.143129346,12.22248434,0
42,63.66666667,98.04999288,1,187.0191235,427.3276839,61648.66667,110.6111111,0.102930843,179.7222222,100,2.499386937,12.24692669,0
43,61,98.0732371,1,112.0566406,377.7201658,62329.77778,123.4722222,0.101753826,161.8611111,100,2.778946689,14.6423259,0
44,50.66666667,97.83726501,4,101.0053134,400.9968534,60996.66667,150.7222222,0.106317701,164.2222222,100,3.371084863,29.7308419,0
45,60.66666667,98.01345825,1,186.9126566,347.5531133,55117.55556,123.2222222,0.103897985,153.7222222,100,3.404840589,14.24756324,0
46,54.33333333,97.30493673,3.666666667,192.8421006,373.3756764,58087.33333,143.5833333,0.115513213,158.9444444,97.22222222,3.516785155,16.35933104,0
47,53.33333333,97.1722997,1,169.9481325,344.8491689,57197.77778,159.6666667,0.101884767,156.6666667,100,3.092452445,13.22747007,2
48,60,97.53355662,1,211.1903874,504.5711474,59418,119.1944444,0.100926366,156.3611111,97.22222222,3.130779456,13.14581651,0
49,57,97.87901306,1,236.3712668,342.8741783,61942.44444,117.6944444,0.10240918,155.0833333,100,3.418308847,12.52891898,0
50,59.33333333,97.9333903,1,136.1063309,298.2418701,63596,128.9166667,0.101730371,157.6388889,100,3.569014725,17.28097969,0
51,53.66666667,97.80572255,1,95.16810151,401.682752,63255.55556,126.5555556,0.103288951,160.8333333,100,4.149208738,22.49956513,0
52,47,97.82993825,1,160.9638007,378.2166079,64449.11111,156.3888889,0.103026042,161.1944444,100,4.089307834,17.73029727,0
53,51,97.82798258,1,125.2996177,449.983435,66956.22222,124.75,0.102523309,160.3888889,100,4.183327009,24.68301399,0
54,55,97.59887187,1,132.0734946,369.2340774,68149.11111,147.5277778,0.103272641,160.1111111,100,3.669448802,17.30727941,0
55,40.66666667,97.34103139,1,146.6150234,389.010721,72487.77778,126.1111111,0.102607586,156.4722222,100,3.290040774,19.03707847,2
56,53.66666667,97.147995,1,236.0031075,497.6944042,73828.88889,168.5277778,0.101197849,157.4722222,100,3.229992279,20.92750477,0
57,70,97.27783457,1,97.45163759,316.7237041,67099.77778,141.6111111,0.101036068,156.7222222,100,3.506459816,15.82657243,0
58,62.33333333,97.06156667,1,128.310377,381.4021586,74366.22222,125.1388889,0.100279902,156.75,100,3.404651848,16.23572163,2
59,51.66666667,96.98080444,1,110.7504281,436.5706549,69970.22222,113.8333333,0.102301748,160.0277778,100,3.776712773,16.68946295,0
60,51.66666667,97.40816498,1,124.3031088,456.5856645,67400.66667,141.8611111,0.102147628,163.75,100,3.597393581,14.8295483,0
61,64.66666667,97.60680135,1,118.6811009,464.2072095,67687.11111,135.1388889,0.101847561,162.5833333,100,4.250114745,20.98625374,0
62,73.66666667,97.74158478,1,118.4699386,428.3816423,67296.22222,131.5,0.100214398,156.8055556,100,2.498589883,14.84175086,0
63,34,97.93088531,1,186.7553524,381.8425936,70656.88889,75.55555556,0.099733765,147.3333333,100,0.792167384,8.083112526,0
64,47,97.89975993,1,321.9940193,459.4663255,72107.33333,86.69444444,0.099140171,150.3611111,100,1.350329467,12.28794864,0
65,45.66666667,97.89655558,1,301.3018461,396.5823714,66145.55556,91.33333333,0.101736289,147.8888889,100,1.058029891,12.88898477,0
66,53.33333333,98.05136871,1,196.3074428,392.2483921,66972,79.30555556,0.101283946,148.5,100,1.063737486,7.559787577,0
67,53.66666667,98.01899719,1,143.7074359,401.4429481,69734.66667,103.5555556,0.104894947,155.8333333,100,2.343738692,19.57955976,0
68,52,97.93261973,1,164.8092959,412.8469079,74135.77778,113.5,0.099772338,158.25,100,2.528818624,19.9347332,0
69,57.33333333,97.85975138,1,174.238981,448.3731409,73548.66667,96.36111111,0.105435019,157.8055556,100,2.671345457,11.81366167,0
70,37,97.32094828,1,138.9761296,413.7646419,73987.55556,129.1388889,0.18910017,157.6111111,97.22222222,2.614344676,22.82784203,0
71,40,97.18934886,1,140.7778102,405.7930281,73644,93.11111111,0.100474659,151.6944444,100,1.540053357,10.22308905,0
72,54,97.19792557,1,193.7925554,452.6097345,73339.66667,97.08333333,0.100896462,150.375,100,1.373067511,8.731770984,0
73,43.66666667,97.5247879,1,295.6770697,516.8262589,72679.55556,84.91666667,0.103294313,151,100,1.311137812,11.59124378,0
74,39,97.37465413,1,369.0147355,415.4568209,70206.66667,107.1111111,0.100654822,149.8888889,100,1.424024523,14.38349865,0
75,44.33333333,97.51571147,1,212.5307248,395.7788049,67430,86.44444444,0.102533426,151.7777778,100,1.785962854,14.42072158,0
76,55.66666667,97.89494069,1,156.0999303,387.1170224,66344.44444,106.2777778,0.102858113,154.5833333,100,2.499807519,17.85023728,0
77,54.33333333,97.91259511,1,198.8377358,365.0205318,65198,106.5277778,0.103400106,155.1388889,100,2.311005545,14.84163026,0
78,59.66666667,98.02533213,1,160.9719133,421.3431862,69925.33333,123.9444444,0.105222261,156.7777778,100,2.760490141,16.19492062,0
79,62.66666667,97.88638814,1,168.5443053,404.5827192,72555.33333,100.1944444,0.104811651,153.2777778,100,2.326810467,13.17280239,2
80,48.33333333,98.03460948,1,232.2066818,387.2188234,73583.77778,92.44444444,0.1001802,152.6666667,100,1.926954026,16.62204114,0
81,38.66666667,97.96644084,1,306.8393235,478.3243338,62969.77778,90.30555556,0.101830044,151.7222222,97.22222222,1.980301544,11.92477616,0
82,49.66666667,98.04478963,1,349.1961861,392.1240992,64889.55556,85.97222222,0.100982058,151.3333333,100,2.038697171,17.80230864,0
83,54.66666667,98.03868103,1,289.8226913,400.9910947,69104.22222,106.9722222,0.100769794,152.3333333,100,2.065655405,11.62824031,0
84,38.33333333,97.82671611,1,162.9536072,399.2339654,73787.11111,117.8611111,0.102657573,156.25,97.22222222,2.200627007,12.68578197,0
85,46,97.54519908,1,172.4578391,386.6911364,61859.11111,184.7777778,0.105418884,159.6944444,100,2.048307723,6.798278612,0
86,56,98.00662486,1,153.2642037,372.1455043,64574.22222,181,0.106197142,160.75,97.22222222,1.935524724,13.46339852,0
87,65.33333333,97.91942851,1,247.6167032,445.2778238,67362.22222,106.4444444,0.104123945,158.3333333,100,2.099435362,12.93270035,0
88,58,98.03812408,1,236.272403,397.7158141,67482,95.25,0.103349237,156.4722222,100,1.61504398,12.0719025,0
89,47.33333333,98.03919474,4,325.1233942,443.0104319,64567.11111,98,0.104695401,157.0833333,100,2.066424477,13.95661759,0
90,33,97.88715108,4,296.1936377,366.4174451,67729.33333,93.13888889,0.10204721,156.6666667,100,2.021322821,13.75803095,2
91,43,97.93606822,1,148.460654,349.0537672,67680.66667,123.8611111,0.104923038,160.5555556,100,2.40775755,17.09555039,0
92,39,97.80712128,1,93.73207504,358.6081622,68205.11111,137.6111111,0.103937968,163.0833333,100,2.95887325,19.58682906,0
93,43,97.92995453,1,175.7716212,345.1334858,66510,122.5277778,0.103870188,159.5277778,100,2.331508707,12.35113162,2
94,71,97.64125061,1,128.4059208,406.1658443,66815.77778,86.58333333,0.107458344,160.5277778,100,2.425434415,19.80687465,0
