Item,Carga CPU,Carga RAM,Promedio Trespuesta,AvgIOReadOperationsPerSec,AvgIOWriteOperationsPerSec,SQL Cache Memory,Sesiones Activas,Loginspersecond,User Conections,Disponibilidad SQL,Average Latch Wait Time,Lock Wait Time,Eventos SQL
197,36.38888889,97.80070792,3.303370787,357.3581168,359.9196357,125280.6667,95.5,0.10084385,102.6111111,100,1.878134563,16.60061797,0
198,50.94444444,97.35584725,3.488888889,177.00453,386.0689468,103891.5556,128.6666667,0.105416938,103.9444444,100,1.80146256,29.94726766,0
199,43.88888889,98.00810581,3.325842697,138.8461931,371.2845346,127351.7714,135.4285714,0.111341008,111.0857143,100,1.826995202,18.46892902,2
200,34.22222222,97.84989124,3.377777778,87.33085882,367.6908189,129165.3333,105.2777778,0.103707963,112.3055556,100,1.540764641,20.07871267,0
201,64.94444444,97.91988246,3.233333333,285.3060142,440.8883965,126439.5556,122.0833333,0.106168064,117.25,100,1.56960915,27.89223549,0
202,62.22222222,97.96006987,3.202247191,40.15334718,403.8411493,61495.77778,124.2777778,0.106273334,116.6666667,100,2.125392708,19.96034097,0
203,53.05555556,97.76728609,3.577777778,172.6556941,385.4990384,127595.7778,113.7777778,0.107519855,116.1666667,100,1.506729086,25.69891498,0
204,50.125,63.68410808,3.179487179,176.4620364,273.77343,96240,110.0625,0.102585313,84.4375,93.75,1.246532443,19.21338343,0
205,51.11111111,31.94142437,3.077777778,113.4637696,198.2267151,123775.7714,115.2285714,0.106925663,62.34285714,94.28571429,1.270352881,27.00806841,2
206,49.61111111,42.09607209,3.333333333,51.17689426,178.0813669,125182,107.3888889,0.106458354,76.91666667,91.66666667,1.716622703,18.27967538,0
207,60.55555556,55.61069552,3.415730337,29.32160684,171.3928817,126296.6667,111.6388889,0.106218159,74.08333333,100,1.945273357,29.59930617,0
208,48.33333333,56.43111123,3.344444444,39.68986813,208.950543,130062.8889,163.8611111,0.105512152,74.36111111,100,2.625706116,35.80762495,0
209,45.44444444,59.13134787,3.555555556,103.5672688,239.3688754,131122.2222,128.0833333,0.15463244,74.44444444,100,2.566926606,38.19791529,0
210,37.27777778,85.33251487,3.303370787,98.27504017,311.9006253,83007.33333,148.9722222,0.103847186,72.86111111,100,2.938597538,23.49584248,0
211,74.47058824,89.88993297,3.111111111,112.2277659,418.738127,74413.25714,133,0.103889355,76.57142857,100,2.78245108,27.78384309,0
212,63.55555556,92.3843867,3.382022472,67.40896847,478.8034421,138082.4444,150.3888889,0.104893641,77.08333333,100,1.957624015,22.79260623,0
213,37.94444444,92.76697286,3.355555556,62.18709549,475.7824447,133694.6667,105.7777778,0.103713159,75.27777778,100,1.515754609,24.92656947,3
214,47.88888889,93.59559123,3.311111111,60.43777637,495.8506056,131898.4444,144.6388889,0.102723684,77.38888889,100,1.78932979,25.41013037,5
215,51.33333333,95.76239861,3.382022472,97.44103883,469.7296114,130690.4444,142.1666667,0.10024435,72.80555556,100,1.96487741,27.70716078,6
216,31,96.39181137,6.555555556,51.50906572,383.6814141,133050,160.2777778,0.100676071,67.86111111,100,1.850790861,28.50839606,0
217,39.72222222,96.35431417,3.247191011,155.0850464,458.0031317,135513.5556,167.6388889,0.095802507,66.72222222,100,2.071606972,31.67117357,0
218,44.83333333,97.17453596,3.444444444,48.40287007,416.7470678,132491.6571,174.3714286,0.097358374,65.54285714,100,2.147543512,19.59514506,0
219,60.11111111,97.13071272,3.433333333,42.54150371,425.0315774,132668.2222,161.5,0.095309479,66.33333333,100,2.246262308,21.38207913,0
220,41.44444444,97.09869851,3.651685393,40.44104202,419.4117921,131429.1111,127.6388889,0.09610781,64.80555556,100,1.920073803,22.35481392,0
221,44.33333333,97.13244841,3.522222222,72.16670295,437.2933224,132019.5556,148.5,0.096074377,62.5,97.22222222,2.053077002,17.12531345,0
222,51.61111111,97.22038693,3.411111111,31.3951577,472.0194331,129488.6667,129.3611111,0.098127093,79.5,100,2.144187712,15.00194158,0
223,55.11111111,97.21591017,3.505617978,63.74943385,530.186303,131430.4444,128.2777778,0.095769648,87.47222222,100,1.930080983,20.12431828,0
224,36.23529412,97.24816625,3.311111111,35.80228943,436.9822382,136901.7778,140.1111111,0.096663658,77.83333333,100,2.186167737,21.79161263,0
225,47.66666667,97.29536947,3.460674157,116.2219618,479.0649323,137617.1429,137.4,0.105949913,75.88571429,97.14285714,2.310969329,19.64941965,0
226,57.94444444,97.88840146,3.366666667,151.8950068,463.5875425,132744.8889,113.3888889,0.095195773,83.97222222,100,2.307504001,14.09492286,0
227,59.38888889,97.95569017,3.733333333,70.55299944,452.1875216,133302.2222,133.9444444,0.093515703,87.55555556,100,2.494555189,23.1695194,0
228,46.44444444,97.76070701,6.337078652,96.86091453,374.9296073,133769.5556,124.1111111,0.101564886,99.75,97.22222222,2.589322681,22.84192362,0
229,25.66666667,97.88361231,3.377777778,25.49825113,453.7768364,137038,139.1666667,0.096721377,117.75,100,2.69726325,16.65669993,0
230,39.77777778,97.91515477,3.4,16.40279663,430.5678529,134328.2222,108,0.094745842,118.6388889,100,2.921174265,23.22450986,2
231,52.52380952,98.0305085,3.278846154,16.92332085,421.7182624,129570.5366,114.2682927,0.092592507,118.5609756,100,2.75077425,21.30390141,0
